,count,mean,std,min,25%,50%,75%,max,%missing,unique
case_positive_specimen_interval,44575.0,0.19501016061227228,0.3520538718572241,0.0,0.0,0.26452433628318583,0.26452433628318583,10.0,0.0,13
case_onset_interval,44575.0,0.004520022434099832,0.14828395052538496,0.0,0.0,0.0,0.0,9.0,0.0,11
